entity1,relation,entity2
木耳菜,属于,植物
毒蕈碱,属于,疾病
血糖,属于,疾病
安克锰锌可湿性粉剂,防治,烂茄子
家兔,属于,兔
艾草,属于,植物
鸡虱,属于,动物
粘虫,属于,动物
甲基硫菌灵可湿性粉剂,防治,大蒜白腐病
向日葵褐斑病,病原,真菌
洋水仙,属于,植物
千屈菜,别名,水枝柳
薰衣草,属于,花卉
尖孢镰刀菌,属于,微生物
菜苜蓿,别名,苜蓿
满园花子,属于,萝卜芽
桃树,属于,果园
苦楝,属于,植物
甲基托布津可湿性粉剂,防治,蛇眼病
鼠兔,属于,动物
水稻,病害,胡麻病菌
螨虫,属于,疾病
甲基托布津,防治,赤霉病
吊瓜,属于,植物
月桂,属于,植物
山桃,属于,植物
果树,病害,苹果斑点落叶病
烟草,病害,青枯病
青萝卜,属,萝卜属
甜椒,种,辣椒
杜梨,科,蔷薇科
链球菌,属于,微生物
革兰氏阳性菌,属于,微生物
草鸡,别名,笨鸡
胃蝇,属于,动物
彩色玫瑰,属于,动物
克螨敌,防治,螨类
丝瓜,病害,灰霉病
夜蛾,科,夜蛾科
水稻,虫害,黑肩绿盲蝽
棉,属于,植物
细小病毒病,属于,传染病
豆角,属于,植物
水仙,属于,花卉
杀病毒药剂,防治,花脸病
南粳44,属于,早熟晚粳稻
蟹,别名,螃蟹
马铃薯,虫害,病毒
雁,属于,动物
安泰生,治疗,番茄
豆科牧草,属于,牧草
昆虫,属于,动物
链霉素,治疗,牛
宝莲灯,属于,年宵花
亚麻,属于,植物
油菜籽,科,十字花科
青杂2号,属于,油菜
敌杀死,防治,蚜虫
打印病,属于,疾病
豇豆,虫害,豇豆荚螟
根结线虫病,属于,疾病
胡萝卜,病害,软腐病
中国水仙,属于,植物
杀灭菊脂,防治,小菜蛾
大腹皮,属于,植物
口蹄疫疫苗,属于,疾病
食蚜蝇,属于,动物
苹果,病害,小叶病
壮根钾宝,防治,裂果症
食欲减退,属于,疾病
桐树,属于,植物
代森锌可湿性粉剂,防治,霜霉病
浮游植物,属于,植物
禾本科牧草,属于,牧草
春薯,病害,疫病
阿胶,属于,中药
普鲁卡因,属于,疾病
梨,属于,果园
葱蓟马,属于,动物
春夏大白菜,属于,蔬菜
木薯,属于,植物
芦笋,虫害,蛴螬
茶云纹叶枯病,别名,叶枯病
灭蚜威,治疗,果树
红富士,属于,植物
风湿性关节炎,属于,疾病
克螨特,防治,螨类
水霉病,属于,疾病
鸭,饲料,水草
薏苡,病害,黑穗病
小麦,病害,白粉病
吊瓜,别名,栝楼
大蒜白腐病,病原,病毒
硫丹,防治,桃小食心虫
石榴树,虫害,红蜘蛛
兔,饲料,玉米
四季豆,属于,植物
瓜皮,科,葫芦科
硼砂,属于,中药
美洲驼,属于,动物
玉米大斑病,属于,真菌
青桐,属于,乔木和花灌木类
桑保Ⅱ号,防治,桑疫病
塘鱼,属于,动物
牛,饲料,苜蓿
柑,属于,中药
多菌灵,防治,赤霉病
石榴树,种,石榴
枕头瓜,属于,南瓜苗
三角梅,别名,九重葛
鲈,属于,动物
农用链霉素可湿性粉剂,防治,菜青虫
氧化乐果,防治,飞虱
新城疫病毒,属于,病毒
恶霉灵,防治,猝倒病
菊酯,属于,化学药品
仔猪,属于,疾病
敌百虫,防治,瓜实蝇
草鳊,别名,鳊
蘑菇,属于,食用菌
眉豆,别名,扁豆
除虫菊,属于,植物
疲劳症,属于,疾病
油菜,科,蔬菜
食肉动物,属于,动物
抗虫威可湿性粉剂,防治,种蝇
白叶枯病,属于,动物
绿脓杆菌,属于,细菌
黍子,属于,植物
恶性水肿,属于,疾病
代森锰锌可湿性粉剂,防治,苹果斑点落叶病
豆科牧草,属于,植物
景丰宝,属于,西瓜
淮稻13号,属于,迟熟中粳稻
敌杀死,防治,草地螟
玉米,包含,郑单958
大樱桃,属,樱桃
甘蓝夜蛾,属于,动物
播娘蒿,属于,植物
莴苣,虫害,蚜虫
灭蚜威,治疗,蔬菜
北京小杂56号,属于,大白菜
猪,病害,沙门氏菌病
头槽绦虫病,属于,疾病
茯苓,属于,植物
盐肤木,属于,植物
麦,虫害,阔叶杂草
核桃树,别名,胡桃
草鱼,属于,动物
玉米,包含,先玉335
芦笋,属于,蔬菜
千屈菜,属于,植物
萝卜,虫害,蚜虫
胱氨酸,属于,化学药品
过路黄,属于,中药
白喉,属于,细菌
链霉素,防治,细菌性病害
潜叶蝇,属于,动物
燕子掌,别名,冬青
胡萝卜,病害,黑斑病
菜蛾科,属于,动物
放线菌,属于,微生物
肉丝瓜,种,丝瓜
瓜苗,属于,西瓜
芦笋王,属于,芦笋
硫酸链霉素可溶性粉剂,防治,软腐病
鲈鱼,属于,中药
黄曲霉,种,黄曲霉菌
红叶石楠,属于,植物
干姜,种,姜
凤梨,属于,年宵花
青豌豆,科,豆科
棉花,病害,枯萎
恶霉灵,防治,茼蒿立枯病
鱼类,病害,肤霉病
青木香,种,马兜铃
漂浮植物,属于,植物
艾滋病,病原,病毒
甜玉米,科,禾本科
公鸡,属于,疾病
西红柿,虫害,蚜虫
番茄,虫害,红蜘蛛
伤食,别名,消化不良
褐飞虱,属于,动物
谷子,属于,植物
马,病害,沙门氏菌病
梨锈病,病原,真菌
广藿香,属于,植物
佛手瓜,属于,植物
沧迦病,病原,细菌
小叶女贞,属于,小灌木类
平菇,属于,食用菌
冬青,属于,树
落葵,病害,蛇眼病
杨梅,虫害,梨小食心虫
小麦,虫害,麦蚜
硬蜱,纲,蛛形纲
蔬菜,病害,土壤次生盐渍化
辣椒,虫害,蚜虫
亚硝酸盐,别名,亚硝酸钠
恶霉灵,防治,纹枯病
安泰生,治疗,马铃薯
兰花,虫害,蓟马
麝香,属于,中药
口舌生疮,属于,疾病
甲基托布津,防治,炭疽病
猪,病害,猪流行性感冒
豆瓣菜,虫害,蚜虫
桂花,属于,年宵花
草药,属于,植物
西瓜,病害,细菌性角斑病
病毒病,病原,麦蚜
对虾,属于,动物
茼蒿,科,菊科
蛙科,属于,动物
鸭疫巴氏杆菌病,别名,鸭传染性浆膜炎
过敏反应,属于,疾病
50 甲基托布津,防治,茎枯病
明太鱼,属于,动物
阿坝蒿,科,菊科
芦笋,病害,根腐病
鱼,虫害,毛金藻
代森锰锌,防治,疫病
黑胫病,属于,病害
莲藕,别名,藕
白鲢,属于,动物
百菌清烟剂,防治,叶斑病
宁粳3号,属于,杂交水稻
苹果,虫害,红蜘蛛
刺槐,属于,植物
瑞锰锌,防治,病毒病
板栗,属于,果树
喜林芋类花卉,属于,水培花卉
灌木,属于,植物
水仙,属于,植物
硫酸锌,防治,白花叶病
花生青枯病,病原,细菌
银荆,别名,澳洲白色金合欢
烟草,病害,花叶病
胡萝卜,虫害,蝼蛄
菖蒲,属于,花卉
柳树,属于,植物
百菌清,防治,霜霉病
吡虫啉,防治,烟青虫
结节病,属于,疾病
甲维盐,防治,毒死蜱
百菌清可湿性粉剂,防治,紫斑病
丰产灵,防治,软腐病
葡萄,病害,白腐病
高锰酸钾,防治,斑枯病
苏梗,属于,中药
紫菀,科,菊科
高效氯氰菊酯,防治,枣步曲
乌鸦,属于,动物
甲基硫菌灵可湿性粉剂,防治,霜霉病
牛,饲料,玉米
西红柿,病害,绵疫病
茼蒿,病害,疫病
花叶万年青,属于,植物
大地英雄,防治,蝼蛄
敌敌畏乳剂,防治,顶梢卷叶虫
兔,饲料,黑麦
广玉兰,属于,花卉
绵疫病,属于,疾病
硬蜱,属于,动物
杜邦万克灵,防治,金针虫
海带,属于,植物
白柳,属于,植物
吡虫啉,防治,粉虱
左旋咪唑,治疗,兔
蓟马,属于,动物
蹄裂,属于,疾病
混百菌清,防治,早疫病
空心菜,属于,叶菜
龙虱,目,鞘翅目
姜瘟,别名,腐烂病
茯苓,虫害,白蚁
水蛇,属于,动物
夏白菜,属于,大白菜
多年生草本花卉,属于,植物
西红柿,病害,菌核病
乳香,属于,植物
家兔,种,兔
大豆,病害,大豆皱缩花叶病
架子牛,属于,动物
大葱,别名,葱
薏苡,属于,植物
黄刺玫,科,蔷薇科
幼犬,属于,动物
高效氯氰菊酯,防治,绿盲蝽
禽,属于,动物
百菌清,防治,猝倒病
鲢鱼,属于,动物
茶叶,目,草本
菌类,属于,微生物
菜蚜,属于,动物
小青菜,属于,植物
发财树,别名,马拉巴栗
三角梅,别名,勒杜鹃
阿维菌素,防治,葱蝇
葱蚜,属于,动物
草兔,属于,动物
桑宁73 炔螨特乳油,防治,桑蓟马
鸭瘟,属于,疾病
利血平,属于,化学药品
孑孓,属于,昆虫
蚂蟥,别名,水蛭
茼蒿,属于,植物
朊病毒,属于,微生物
鹅,饲料,水草
郑单958,属于,玉米
花生,虫害,蛴螬
恩诺沙星,治疗,鹅
阿坝蒿,属于,植物
盲蝽象,属于,动物
小麦,病害,赤霉病
新枣头,属于,枣树
斑头雁,属于,动物
萝卜,虫害,菜青虫
黄瓜,虫害,甜菜夜蛾
甲霉灵,属于,农药
球兰,属于,植物
鸡,种,家鸡
伤食,属于,疾病
氧化乐果,防治,玉米蓟
生石膏,属于,植物
赤星病,别名,红斑
代森锰锌,防治,炭疽病
云苓,别名,茯苓
甲敌粉,防治,吸浆虫
病毒病,病原,稻飞虱
阿维菌素乳油,防治,斜纹夜蛾
兰花,虫害,粉虱
薏苡,虫害,黏虫
护树将军,防治,冻害
大樱桃树,别名,樱桃树
栎树,属于,植物
苦皮藤,属于,中药
苹果褐斑病,病原,病毒
肤霉病,属于,动物
碧桃,属于,植物
杂粮,包含,稻谷
紫菀,属于,植物
腐霉利可湿性粉剂,防治,病害
桔,属于,果树
高效氯氟氰菊酯,防治,潜叶蝇
异丙隆,防治,禾本科杂草
十三星瓢虫,目,鞘翅目
彩椒,属于,植物
大葱,病害,紫斑病
黄颡鱼,属于,中药
辣椒,虫害,地老虎
甜椒,病害,茎基腐病
艾叶,科,菊科
赤皮病,属于,疾病
鱼尾葵,科,棕榈科
小麦,虫害,麦叶蜂
光头稗,科,禾本科
菌克毒克水剂,防治,花叶病
彩叶马醉木,属于,植物
升麻,科,毛茛科
意杨苗,病害,叶锈病
保桑灵,防治,桑尺蠖
甘露醇,属于,化学药品
肺炎链球菌,属于,细菌
柴鸡,种,家鸡
鸡腿菇,属于,菇
胡萝卜,虫害,蛴螬
扬粳4038,属于,早熟晚粳稻
枣树,虫害,枣步曲
根肿病,属于,疾病
玉米,虫害,粘虫
落葵,属于,植物
螨虫,属于,微生物
玉米,属于,农作物
莱菔子,属于,中草药
架子牛,别名,牛
百菌清可湿性粉剂,防治,锈病
朱砂叶螨,科,叶螨科
越夏彩椒,属于,彩椒
老鼠,属于,动物
白玉兰,属于,花卉
锐劲特,治疗,蔬菜
塘鱼,属于,鱼
茄科,病原,花叶病毒
草木灰,属于,中药
瓜叶菊,属于,花卉
锯缘青蟹,属于,动物
挺水植物,属于,植物
黄羊,属于,动物
栝楼,科,葫芦科
夏白45,属于,植物
苦荬菜,科,菊科
珠颈斑鸠,属于,动物
辣椒,病害,灰霉病
三唑酮,防治,锈病
莴苣,属于,中药
山瑞鳖,属于,动物
金粟兰科,属于,植物
香石竹,别名,麝香石竹
茭白,别名,茭笋
菜瓜,科,葫芦科
杀菌剂,防治,蚜虫
Bt乳剂,防治,枣步曲
海芋,属于,花木
粉掌,属于,植物
鸭舌草,属于,植物
百菌清胶悬液,防治,苹果炭疽病
红叶桃,属于,植物
石榴根皮,属于,中药
牛,饲料,黑麦
桑皮,属于,植物
康乃馨,属于,植物
水稻,病害,细条病菌
红薯,属于,植物
缺氧症,属于,疾病
菖蒲,属于,植物
除草剂,属于,农作物
黄曲霉,属于,微生物
百菌清可湿性粉剂,防治,叶斑病
纹枯病,属于,微生物
王铜,防治,细菌性软腐病
月季,属于,小灌木类
沙门氏菌,属于,细菌
小绿叶蝉,属于,动物
高粱,病害,黑穗病
菌核净,防治,菌核病
稻叶,属于,水稻
杀灭菊脂,防治,豆荚螟
桑,虫害,桑尺蠖
油葵,科,菊科
螨净乳油,防治,锈虫虱
眉豆,属,扁豆
杜鹃,属于,花
小叶女贞,属于,植物
榆,属于,植物
丹参根腐病,属于,植物
阿莫西林,属于,西药
白粉病,属于,疾病
小麦,病害,颖枯病
绿盲蝽,属于,动物
根瘤蚜,属于,动物
白灵菇,属于,植物
羊痘,属于,疾病
链球菌病,属于,传染病
向日葵,虫害,盲蝽
敌杀死,防治,红蜘蛛
粉螨,属于,动物
大白菜,属于,青菜
大功臣,防治,蚜虫
鸭儿芹,属于,中药
直肠,属于,大肠
水草,属于,植物
秋刀鱼,属于,动物
藕,别名,莲藕
贝类,属于,动物
大葱,病害,锈病
熟地黄,属于,中药
红斑,属于,疾病
桐树,科,禾本科
食盐,别名,氯化钠
禽流感,属于,疫病
波尔多液,防治,落叶病
苦荬菜,属于,植物
敌百虫,防治,银纹夜蛾
三环唑,防治,稻温病
茵陈蒿,属于,植物
植株,属于,植物
香葱,虫害,葱蓟马
百菌清,防治,病毒病
甜瓜,属于,蔬菜
生石灰,别名,氧化钙
富士苹果,科,蔷薇科
甜糯玉米,属于,植物
集琦虫螨克,防治,蚜虫
放线菌,属于,植物
甘薯,别名,红薯
京津1号,属于,西瓜
南瓜,别名,金瓜
熊猫,病害,犬瘟热
莱菔子,属于,植物
种蝇,属于,动物
豇豆,病害,锈病
美人蕉,属于,小灌木类
甲基硫菌灵,防治,杨树溃疡病
螨,纲,蛛形纲
退菌特可湿性粉剂,防治,苹果轮纹病
李子,种,李
螨虫,纲,蛛形纲
茼蒿,虫害,斑潜蝇
棉苗,属于,棉花
白芦笋,属于,疾病
橄榄,属于,植物
豆荚螟,别名,豇豆荚螟
螨,属,螨类
松香,属于,中药
青花菜,虫害,甜菜夜蛾
灭蝇胺,别名,环丙氨嗪
桃树,病害,桃褐腐病
鸭,饲料,玉米
棉花,属于,植物
茶,别名,茶叶
蒲公英,属于,花卉
肥胖症,属于,疾病
水肿病,属于,疾病
驼羊,属于,动物
桑树叶,属于,植物
陈皮,别名,橘皮
吡虫啉可湿性粉剂,防治,小猿叶虫
阿坝蒿,属于,草本
烟蚜,属于,动物
辛硫磷乳油,防治,蚜虫
菊糖,属于,中药
硝化细菌,属于,细菌
代森锰锌可湿性粉剂,防治,菜青虫
氧化乐果,防治,麦蚜
核桃树,属于,植物
银杏果实,属于,银杏
肌醇,属于,化学药品
波尔多液,防治,斑点细菌病
盐酸恩诺沙星,防治,桑疫病
双孢菇,属于,真菌
乐果乳油,防治,种蝇
杂草稻,科,禾本科
草菇V238,属于,草菇
高效氯氟氰菊酯,属于,杀虫剂
白芦笋,属于,芦笋
豌豆,属于,植物
虱,属于,昆虫
眉豆,科,豆科
薏苡,虫害,玉米螟
白柳,别名,白杨
白玉兰,属于,乔木
辽核4号,属于,植物
云杉,属于,植物
燕麦,属于,饲料
甜玉米,属于,植物
白茅,属于,植物
柳,属于,树
茶花,属于,花木
种子植物,属于,植物
丝瓜,病害,菌核病
蔬菜,虫害,土壤次生盐渍化
甜椒,科,茄科
微孢子虫,属于,动物
树桩盆景,别名,盆景树桩
苗木,包含,白皮松
细菌性软腐病,属于,植物
葵花籽,别名,瓜子
白玉兰,属于,植物
草莓,虫害,白粉虱
白叶枯病,病原,细菌
非洲菊,属于,植物
瓜叶菊,属于,植物
甲维盐,防治,大造桥虫
鱼尾葵,别名,酒椰子
雀稗,科,禾本科
菌核病,属于,植物
链霉素,防治,野火病
咽喉炎,属于,疾病
溃疡病,属于,疾病
大花惠兰,属于,年宵花
抗球虫药物,属于,疾病
扁豆,别名,峨眉豆
大叶黄杨,属于,植物
食用菌,包含,猴头菇
荨麻,属于,中药
亚麻,虫害,粘虫
土传病害,属于,农作物
青桐,属于,动物
鳢,别名,黑鱼
小球藻,属于,植物
天泰10号,属于,玉米
藏猪,属于,动物
辣椒疫病,病原,真菌
青萝卜,属于,植物
黑籽南瓜,属于,植物
疥癣病,属于,疾病
木樨,属于,植物
根腐灵,属于,植物
黄胸鼠,属于,动物
细菌性病害,包含,溃疡病
百脉根,属于,植物
多菌灵可湿性粉剂,防治,叶枯病
籽粒苋,属于,植物
玉米,虫害,飞虱
克山病,属于,疾病
灰霉病,病原,病毒
种薯,属于,甘薯
小麦,虫害,蚜虫
甘薯,属于,农作物
丝瓜,病害,病毒病
板兰根,病害,霜霉病
海棠,病害,苹果褐斑病
硫酸卡那霉素,属于,化学药品
黑果枸杞,属于,植物
茅栗,属于,中药
兰花,病害,茎腐病
沙门氏菌病,属于,疾病
桑毛虫,属于,动物
鸡输卵管炎,属于,疾病
病毒病,病原,蚜虫
胡萝卜,属于,蔬菜
抗虫威可湿性粉剂,防治,潜叶蝇
茶叶,别名,茶
消化系统疾病,属于,疾病
秋红苕,别名,红苕
赤星病,别名,褐斑病
庆大霉素,治疗,牛
地榆炭,属于,植物
大豆,病害,细菌性斑点病
冠状病毒,属于,病毒
雉,属于,中药
寒兰,属于,植物
阳起石,属于,植物
荸荠,别名,水栗
冠状病毒,科,冠状病毒科
甘薯,别名,地瓜
果树,病害,梨黑星病
助壮素,防治,小果症
红蜘蛛,防治,螨类
杀毒矾可湿性粉剂,防治,叶斑病
小麦,虫害,棉铃虫
细菌,属于,微生物
水稻,虫害,叶蝉
气囊炎,属于,疾病
鲜鱼,属于,动物
莴苣,病害,霜霉病
黄条跳甲,属于,动物
玉米螟,属于,动物
旅人蕉科,属于,植物
毛姜,科,姜科
青木香,属于,植物
甲霜灵霜霉威,防治,霜霉病
菜椒,病害,灰霉病
荷兰豆,虫害,蜗牛
郑杂5号,属于,西瓜
酮病,属于,疾病
补骨脂,属于,植物
高效氯氰菊酯,防治,桃小食心虫
内毒素,属于,微生物
肤霉病,别名,白毛病
三苯甲咪唑,别名,克霉唑
桑宁73 炔螨特乳油,防治,红蜘蛛
烤烟,病害,青枯病
萝卜,病害,霜霉病
蓖麻叶,属于,植物
霉 锰锌可湿性粉剂,防治,叶枯病
姜种,属于,大姜
烟草,别名,烟叶
郁金香,属于,花卉
莲子,种,莲
甜瓜,病害,叶斑病
南瓜,属于,植物
大葱,虫害,斑潜蝇
舌状绦虫病,属于,疾病
杏,虫害,梨小食心虫
黑松,属于,植物
大白菜,属于,蔬菜
油柿,属于,植物
菊酯类农药,防治,桃蛀螟
桑毛虫,属于,农作物
海韭菜,属于,中药
桐树,属于,阔叶树
上海青,别名,小白菜
柿树,属于,树
兰花,虫害,霉菌
敌敌畏,防治,粘虫
赤眼鳟,属于,动物
贡选1号,属于,大豆
长度水瓜,属于,普通丝瓜
黄瓜,病害,绵腐病
辛硫磷乳油,防治,菜青虫
乌榄,属于,中药
杏,虫害,食心虫
西瓜,病害,茎枯病
茶树,病害,炭疽病
苋科,属于,植物
红叶石楠,科,蔷薇科
指环虫病,属于,疾病
杜邦万克灵,防治,蚜虫
蛆虫,属于,动物
大丽花,属于,花卉
阿托品,属于,疾病
加州873,属于,芦笋
鸭,饲料,水稻
百菌清,防治,紫斑病
保桑灵,防治,桑螟
寄生虫病,属于,疾病
棉籽,属于,中药
甲基托布津,防治,根腐病
茅根,属于,植物
猪瘟,别名,猪
甲基硫菌灵可湿性粉剂,防治,紫斑病
公鸡,种,家鸡
黄瓜,虫害,白粉虱
桑蓟马,科,蔷薇科
豆类,科,豆科
腈菌唑乳油,防治,霜霉病
光头稗,属于,植物
草棉,属于,农作物
茉莉属,属于,花卉
第二茬瓜,属于,西瓜
麦芽,科,禾本科
紫花苜蓿,属于,植物
鸡,饲料,玉米
梨,病害,梨黑星病
敌杀死,防治,莱青虫
核桃树,病害,杨树溃疡病
花萼,属于,花卉
鹅,饲料,玉米
杀毒矾,防治,立枯病
绦虫,属于,动物
浚单20,属于,玉米
葡萄,病害,褐斑病
钉螺,属于,动物
十二指肠,属于,疾病
紫甘蓝,属于,蔬菜
竹叶,属于,植物
刚竹,属于,竹类
甜椒,属于,植物
绿菜宝,防治,斑潜蝇
灭蝇净,防治,蜗牛
阿维菌素,防治,蚜虫
尿毒症,属于,疾病
美人蕉,属于,植物
莲子草,科,苋科
叶蝉,属于,动物
黄尿病,属于,疾病
花生油,属于,植物
虾衣花,属于,花卉
等量式波尔多液,防治,病毒病
大葱,病害,软腐病
狍,属于,动物
瘤胃臌气,属于,疾病
辣椒,虫害,螨类
镇稻11号,属于,植物
皮肤感染,属于,疾病
扁豆,别名,眉豆
梨,病害,腐心病
掐不齐,属于,植物
大蒜,虫害,病菌
辣椒苗,属于,辣椒
退菌特可湿性粉剂,防治,果轮纹病
杨树,属于,阔叶树
花鲈,属于,动物
土霉素,治疗,鸡
牛蒡,属于,植物
秋葵,属于,植物
利谷隆,属于,除锈剂
鳙,别名,鳙鱼
三苯甲咪唑,属于,疾病
豆荚螟,属于,动物
菜果壮蒂灵,治疗,蚕豆
芦笋,病害,茎枯病
药饵,属于,中药
桑,虫害,桑螟
杜邦万克灵,防治,四绒金龟甲
大豆,属于,植物
灭多威,防治,绿盲蝽
玛丽华盛顿500W,属于,芦笋
银纹夜蛾,属于,动物
敌敌畏,防治,卷叶蛾
四季豆,别名,扁豆
乐果,防治,蚜虫
涂白剂,防治,病虫
垂丝海棠,属于,中药
农用链霉素可湿性粉剂,防治,霜霉病
蔗,属于,植物
双孢菇,属于,植物
刚竹,属于,植物
番茄,病害,黄化曲叶病毒病
番茄,病害,早疫病
富士苹果,别名,红富士
青蚕豆,属于,蚕豆
万寿菊,属于,植物
鹅瘟疫苗,治疗,鹅
石榴,属于,花卉
清瘟败毒散,属于,中药
白胡椒,属于,中药
广香,别名,广木香
杜鹃花瓣,属于,年宵花
海棠花,属于,植物
壁虎,别名,天龙
恩诺沙星,治疗,鸭
过江藤,属于,植物
灭多威,防治,大造桥虫
镇稻11号,属于,早熟晚粳稻
V20,属于,草菇
软枣猕猴桃,属于,植物
菜豆树,属于,中药
甲基硫菌灵,别名,甲基托布津
百菌清,防治,锈病
杜邦万克灵,防治,蝼蛄
蒙古灰象甲,属于,动物
荞麦,属于,植物
浮游生物,属于,动物
新城疫病毒,属于,疾病
热带鱼,属于,动物
苦参碱,防治,金龟子
茄子,病害,青枯病
金合欢,属于,合欢属
柳树,属于,阔叶树
猪,病害,猪瘟
百草霜,属于,中药
黑杨,属于,植物
李,属于,果树
敌百虫,防治,蒜蛆
丹毒,属于,疾病
绿丰1号,属于,杂交水稻
百虫净,防治,夜蛾
曲霉菌,病原,真菌
苏云金杆菌,防治,蚜虫
豆腐,属于,中药
高等植物,属于,植物
华支睾吸虫病,属于,疾病
烤烟,病害,花叶病
银心吊兰,属于,吊兰
京白梨,属于,植物
彩叶马醉木,科,杜鹃花科
阿维菌素,防治,白粉虱
石灰,别名,生石灰
双甲脒,治疗,牛
鲢,别名,白鲢
尼索朗乳油,防治,红蜘蛛
番茄,病害,果锈病
麦蚜,科,蚜科
肺热,属于,疾病
狗牙根,属于,中药
美邦索洛米,防治,稻瘟病
毛姜,属于,植物
紫花苜蓿,科,豆科
金心吊兰,属于,花卉
轮状病毒,属于,疾病
川芎,属于,中药
茯神,属于,中药
棕榈科,属于,毛茛科
棘头虫,属于,动物
鱼尾葵,属于,植物
孔雀鱼,属于,鱼类
蚜虫,别名,蜜虫
天龙宝,防治,绿盲蝽
大丽花,属于,植物
硫磺粉,别名,硫磺
鲮鱼,属于,中药
多粘类芽孢杆菌,属于,细菌
杂粮,包含,大豆
桑螟,属于,动物
郁金,科,姜科
妊娠毒血症,属于,疾病
桂花树,属于,乔木
放线菌,属于,革兰氏阳性菌
粉锈宁乳油,防治,白粉病
葵花籽,属于,植物
南豆12,属于,大豆
西瓜,病害,疫病
皖绿,属于,丝瓜
糜子,属于,植物
甲霜灵锰锌,治疗,蔬菜
真菌,病原,曲霉菌
雷丸,属于,植物
迟熟中粳稻,属于,水稻
籼稻,种,稻
青皮丝瓜,属于,植物
仙人球,属于,中药
景天树,别名,燕子掌
仙人球,属于,花卉
香葱,虫害,葱蚜
番茄,病害,青顶症
茄子,病害,黄萎病
灌木,包含,玫瑰
花萼,属于,植物
黑五田胡萝卜,属于,蔬菜
阿维菌素,防治,菜青虫
狼尾草,科,禾本科
病毒病,病原,病毒
苗木,虫害,梨小食心虫
长寿花,属于,花卉
快灵,防治,绿盲蝽
甲维盐,防治,甜菜夜蛾
敌敌畏,防治,飞虱
森锌,防治,霜霉病
白菊,属于,植物
鹅,饲料,水稻
金纹细蛾,属于,动物
鳝鱼,属于,动物
碳酸钠,别名,苏打
焦白术,属于,植物
宝巾,属于,植物
氧化乐果,防治,蚜虫
莲子,属于,植物
腐烂病,别名,烂皮病
双青丝瓜,属于,有棱丝瓜
水蜈蚣,属于,中药
枣虫快毙,防治,枣步曲
白兰瓜,科,葫芦科
猪伪狂犬病,属于,疾病
姬松茸,属于,微生物
小龙柏,属于,小灌木类
冬青,属于,小灌木类
雀稗,属于,植物
康乃馨,属于,多年生草本花卉
混百菌清,防治,晚疫病
玉米,虫害,象鼻虫
麦蜘蛛,属于,动物
孑孓,属于,幼虫
苏云金杆菌制剂,防治,瓜绢螟
托布津,防治,落叶病
杀毒矾,防治,茎枯病
马齿苋,属于,植物
竹叶,种,淡竹
大葱,虫害,葱蝇
传染性支气管炎病毒,属于,疾病
铁苋菜,属于,中药
苹果,病害,落叶病
霉菌,属于,微生物
韭菜,属于,中药
合欢树,属于,乔木
90 晶体敌百虫,防治,蚜虫
爱福丁,防治,斑潜蝇
杜邦万克灵,防治,蛴螬
雉,别名,野鸡
快灵,防治,大造桥虫
灭多威,防治,美国白蛾
辣椒,病害,病毒病
琥胶肥酸铜可湿性粉剂,防治,软腐病
成虫,属于,动物
黑木耳,属于,中药
硫酸卡那霉素,属于,西药
金藻,属于,微生物
苹果树,病害,苦痘病
灭蚜威,防治,蚜虫
发财树,属于,植物
桃粉蚜,属于,动物
丹草,属于,植物
茭白,属于,中药
田鼠,属于,动物
西红柿,虫害,粉虱
番茄,虫害,美洲斑潜蝇
新高脂膜,防治,菜蚜
中华倒刺鲃,属于,鱼类
小麦,虫害,穗蚜
马拉巴栗,属于,植物
鳖,属于,鱼类
含笑,属于,花卉
禽流感疫苗,治疗,鸭
扁豆,病害,炭疽病
梨果,属于,植物
土鸡,别名,草鸡
急性病,属于,疾病
鲫鱼,属于,中药
柃木,属于,植物
郁金,属于,中草药
猪殃殃,属于,植物
富贵竹,属于,植物
葡萄,病害,霜霉病
百菌清烟剂,防治,炭疽病
氯化钠,别名,食盐
保树胶 生物膜,防治,病菌
喷菊酷类,防治,斜纹夜盗蛾
大白菜,虫害,斑潜蝇
北京小杂56号,属于,农作物
紫色长茄,属于,长茄
稗草,科,禾本科
姬松茸,属于,真菌
苹果,病害,苹果褐斑病
白术,属于,植物
抗生素,防治,细菌性病害
小麦,病害,根腐病
水芹,属于,中药
高效氯氟氰菊酯,防治,葱蓟马
有机磷农药,防治,虫
生理盐水,防治,鼻炎
西兰花,虫害,菜青虫
附红细胞体病,属于,疾病
致病微生物,属于,微生物
子宫内膜炎,属于,疾病
病菌,属于,微生物
瓜秧,别名,藤蔓
油菜,虫害,甘蓝夜蛾
漏芦,属于,中药
乙型脑炎,属于,传染病
磺胺类药,属于,抗菌药
梨黑星病,病原,真菌
甲状腺肿,属于,疾病
敌百虫,防治,卷叶蛾
树桩盆景,属于,植物
线虫,属于,动物
日高乳油,防治,烟青虫
烟草,病害,线虫病
小麦,包含,中麦578
大便不通,属于,疾病
杀毒矾,防治,褐斑病
菜螟,属于,动物
牙鳕,属于,动物
膀胱炎,属于,疾病
疥癣,属于,疾病
苏云金杆菌,防治,菜青虫
番木瓜,属于,中药
乐果乳油,防治,潜叶蝇
葡萄,病害,干旱
红花白荚架豆,属于,四季豆
海桐,属于,中药
安泰生,治疗,苹果
吊瓜,病害,疫病
番茄,病害,角斑病
